total_epoch: 100, batch_size: 175, initial_lr 0.001, drop_lr: 0.5, drop_lr_per_epoch
epoch 51, classification loss 0.061032, train acc 0.97143, train_AUC 0.998, train_F1: 0.96552
epoch 52, classification loss 0.044099, train acc 0.97143, train_AUC 0.99867, train_F1: 0.96552
epoch 53, classification loss 0.041389, train acc 0.97143, train_AUC 0.99933, train_F1: 0.96552
epoch 54, classification loss 0.042743, train acc 0.99429, train_AUC 0.99947, train_F1: 0.99329
epoch 55, classification loss 0.055662, train acc 0.95429, train_AUC 0.99787, train_F1: 0.94366
epoch 56, classification loss 0.071346, train acc 0.96571, train_AUC 0.996, train_F1: 0.9589
epoch 57, classification loss 0.039832, train acc 0.98286, train_AUC 0.999, train_F1: 0.97959
epoch 58, classification loss 0.05507, train acc 0.97714, train_AUC 0.9976, train_F1: 0.9726
epoch 59, classification loss 0.029991, train acc 0.98286, train_AUC 0.9992, train_F1: 0.97959
epoch 60, classification loss 0.02994, train acc 0.97714, train_AUC 0.9992, train_F1: 0.9726
epoch 61, classification loss 0.042767, train acc 0.96, train_AUC 0.998, train_F1: 0.95172
epoch 62, classification loss 0.0759, train acc 0.94857, train_AUC 0.994, train_F1: 0.93617
epoch 63, classification loss 0.040097, train acc 0.98286, train_AUC 0.9986, train_F1: 0.97959
epoch 64, classification loss 0.043652, train acc 0.98857, train_AUC 0.9988, train_F1: 0.98649
epoch 65, classification loss 0.059475, train acc 0.96, train_AUC 0.99627, train_F1: 0.95105
epoch 66, classification loss 0.039742, train acc 0.96571, train_AUC 0.9984, train_F1: 0.95833
epoch 67, classification loss 0.055505, train acc 0.96571, train_AUC 0.9968, train_F1: 0.95833
epoch 68, classification loss 0.035651, train acc 0.99429, train_AUC 0.99947, train_F1: 0.99329
epoch 69, classification loss 0.039609, train acc 0.96571, train_AUC 0.9984, train_F1: 0.95833
epoch 70, classification loss 0.047543, train acc 0.98286, train_AUC 0.9982, train_F1: 0.97959
epoch 71, classification loss 0.040049, train acc 0.97714, train_AUC 0.9984, train_F1: 0.9726
epoch 72, classification loss 0.071298, train acc 0.94857, train_AUC 0.9946, train_F1: 0.93617
epoch 73, classification loss 0.019804, train acc 0.97714, train_AUC 0.99973, train_F1: 0.9726
epoch 74, classification loss 0.051491, train acc 0.97143, train_AUC 0.99733, train_F1: 0.96552
epoch 75, classification loss 0.043569, train acc 0.97143, train_AUC 0.998, train_F1: 0.96552
epoch 76, classification loss 0.031687, train acc 0.98857, train_AUC 0.9992, train_F1: 0.98649
epoch 77, classification loss 0.023765, train acc 0.98857, train_AUC 0.99947, train_F1: 0.98649
epoch 78, classification loss 0.04753, train acc 0.98857, train_AUC 0.99867, train_F1: 0.98649
epoch 79, classification loss 0.027726, train acc 0.99429, train_AUC 0.9996, train_F1: 0.99329
epoch 80, classification loss 0.019804, train acc 0.99429, train_AUC 0.99973, train_F1: 0.99329
epoch 81, classification loss 0.035648, train acc 0.96571, train_AUC 0.9988, train_F1: 0.95833
epoch 82, classification loss 0.031687, train acc 0.97714, train_AUC 0.99893, train_F1: 0.9726
epoch 83, classification loss 0.027726, train acc 0.97714, train_AUC 0.9992, train_F1: 0.9726
epoch 84, classification loss 0.051491, train acc 0.97714, train_AUC 0.9976, train_F1: 0.9726
epoch 85, classification loss 0.023765, train acc 0.99429, train_AUC 0.99967, train_F1: 0.99329
epoch 86, classification loss 0.031687, train acc 0.98286, train_AUC 0.999, train_F1: 0.97959
epoch 87, classification loss 0.055452, train acc 0.97143, train_AUC 0.997, train_F1: 0.96552
epoch 88, classification loss 0.051491, train acc 0.98286, train_AUC 0.998, train_F1: 0.97959
epoch 89, classification loss 0.04753, train acc 0.96571, train_AUC 0.9976, train_F1: 0.95833
epoch 90, classification loss 0.043569, train acc 0.97714, train_AUC 0.99813, train_F1: 0.9726
epoch 91, classification loss 0.059413, train acc 0.97714, train_AUC 0.99707, train_F1: 0.9726
epoch 92, classification loss 0.055452, train acc 0.95429, train_AUC 0.9968, train_F1: 0.94366
epoch 93, classification loss 0.051491, train acc 0.96571, train_AUC 0.9972, train_F1: 0.95833
epoch 94, classification loss 0.027726, train acc 0.99429, train_AUC 0.9996, train_F1: 0.99329
epoch 95, classification loss 0.031687, train acc 0.98857, train_AUC 0.9992, train_F1: 0.98649
epoch 96, classification loss 0.019804, train acc 0.98857, train_AUC 0.9996, train_F1: 0.98649
epoch 97, classification loss 0.043569, train acc 0.96571, train_AUC 0.998, train_F1: 0.95833
epoch 98, classification loss 0.035648, train acc 0.97143, train_AUC 0.99867, train_F1: 0.96552
epoch 99, classification loss 0.051491, train acc 0.97714, train_AUC 0.9976, train_F1: 0.9726
epoch 100, classification loss 0.027726, train acc 0.97714, train_AUC 0.9992, train_F1: 0.9726
