total_epoch: 100, batch_size: 175, initial_lr 0.001, drop_lr: 0.5, drop_lr_per_epoch
epoch 35, classification loss 0.71454, train acc 0.72, train_AUC 0.91093, train_F1: 0.51485
epoch 36, classification loss 0.52649, train acc 0.76, train_AUC 0.94293, train_F1: 0.76667
epoch 37, classification loss 0.47753, train acc 0.78857, train_AUC 0.9376, train_F1: 0.67257
epoch 38, classification loss 0.42209, train acc 0.84571, train_AUC 0.97107, train_F1: 0.84211
epoch 39, classification loss 0.44867, train acc 0.77714, train_AUC 0.9424, train_F1: 0.64865
epoch 40, classification loss 0.41013, train acc 0.79429, train_AUC 0.96547, train_F1: 0.7907
epoch 41, classification loss 0.37759, train acc 0.79429, train_AUC 0.96813, train_F1: 0.68421
epoch 42, classification loss 0.32022, train acc 0.84, train_AUC 0.98007, train_F1: 0.83333
epoch 43, classification loss 0.33776, train acc 0.85714, train_AUC 0.96347, train_F1: 0.8
epoch 44, classification loss 0.3895, train acc 0.8, train_AUC 0.95227, train_F1: 0.78788
epoch 45, classification loss 0.29198, train acc 0.89143, train_AUC 0.979, train_F1: 0.85496
epoch 46, classification loss 0.2563, train acc 0.87429, train_AUC 0.98947, train_F1: 0.86747
epoch 47, classification loss 0.23893, train acc 0.88, train_AUC 0.97727, train_F1: 0.83721
epoch 48, classification loss 0.25979, train acc 0.87429, train_AUC 0.9808, train_F1: 0.8625
epoch 49, classification loss 0.21117, train acc 0.92, train_AUC 0.987, train_F1: 0.89706
epoch 50, classification loss 0.076348, train acc 0.96571, train_AUC 0.9964, train_F1: 0.9589
epoch 51, classification loss 0.10593, train acc 0.93714, train_AUC 0.99227, train_F1: 0.92199
epoch 52, classification loss 0.064462, train acc 0.98857, train_AUC 0.99893, train_F1: 0.98649
epoch 53, classification loss 0.072666, train acc 0.96571, train_AUC 0.9976, train_F1: 0.95833
epoch 54, classification loss 0.043918, train acc 0.97143, train_AUC 0.99867, train_F1: 0.96552
epoch 55, classification loss 0.043618, train acc 0.98286, train_AUC 0.999, train_F1: 0.97959
epoch 56, classification loss 0.070993, train acc 0.96, train_AUC 0.9958, train_F1: 0.95105
epoch 57, classification loss 0.056952, train acc 0.97714, train_AUC 0.998, train_F1: 0.9726
epoch 58, classification loss 0.033347, train acc 0.97143, train_AUC 0.99933, train_F1: 0.96552
epoch 59, classification loss 0.044283, train acc 0.96, train_AUC 0.9986, train_F1: 0.95105
epoch 60, classification loss 0.061885, train acc 0.96571, train_AUC 0.9964, train_F1: 0.95833
epoch 61, classification loss 0.049841, train acc 0.97143, train_AUC 0.99767, train_F1: 0.96552
epoch 62, classification loss 0.057282, train acc 0.94286, train_AUC 0.998, train_F1: 0.92857
epoch 63, classification loss 0.036791, train acc 0.97143, train_AUC 0.99867, train_F1: 0.96552
epoch 64, classification loss 0.029276, train acc 0.98857, train_AUC 0.99933, train_F1: 0.98649
epoch 65, classification loss 0.053239, train acc 0.97143, train_AUC 0.99733, train_F1: 0.96552
epoch 66, classification loss 0.056959, train acc 0.96, train_AUC 0.99673, train_F1: 0.95105
epoch 67, classification loss 0.035593, train acc 0.98857, train_AUC 0.9992, train_F1: 0.98649
epoch 68, classification loss 0.064542, train acc 0.94857, train_AUC 0.9958, train_F1: 0.93617
epoch 69, classification loss 0.039832, train acc 0.97714, train_AUC 0.9984, train_F1: 0.9726
epoch 70, classification loss 0.040285, train acc 0.97714, train_AUC 0.9984, train_F1: 0.9726
epoch 71, classification loss 0.027943, train acc 0.98286, train_AUC 0.9992, train_F1: 0.97959
epoch 72, classification loss 0.06753, train acc 0.93714, train_AUC 0.9956, train_F1: 0.92086
epoch 73, classification loss 0.043602, train acc 0.96571, train_AUC 0.998, train_F1: 0.95833
epoch 74, classification loss 0.039643, train acc 0.97714, train_AUC 0.9984, train_F1: 0.9726
epoch 75, classification loss 0.039765, train acc 0.97714, train_AUC 0.9984, train_F1: 0.9726
epoch 76, classification loss 0.057003, train acc 0.96571, train_AUC 0.9968, train_F1: 0.95833
epoch 77, classification loss 0.023774, train acc 0.97143, train_AUC 0.99967, train_F1: 0.96552
epoch 78, classification loss 0.027728, train acc 0.98857, train_AUC 0.99933, train_F1: 0.98649
epoch 79, classification loss 0.051492, train acc 0.96571, train_AUC 0.9972, train_F1: 0.95833
epoch 80, classification loss 0.047545, train acc 0.97714, train_AUC 0.99787, train_F1: 0.9726
epoch 81, classification loss 0.015845, train acc 1.0, train_AUC 1.0, train_F1: 1.0
epoch 82, classification loss 0.051491, train acc 0.97143, train_AUC 0.99733, train_F1: 0.96552
epoch 83, classification loss 0.063374, train acc 0.96571, train_AUC 0.996, train_F1: 0.95833
epoch 84, classification loss 0.027726, train acc 0.98857, train_AUC 0.99933, train_F1: 0.98649
epoch 85, classification loss 0.043569, train acc 0.97714, train_AUC 0.99813, train_F1: 0.9726
epoch 86, classification loss 0.039608, train acc 0.96571, train_AUC 0.9984, train_F1: 0.95833
epoch 87, classification loss 0.051498, train acc 0.96571, train_AUC 0.9972, train_F1: 0.95833
epoch 88, classification loss 0.04753, train acc 0.96, train_AUC 0.99767, train_F1: 0.95105
epoch 89, classification loss 0.067334, train acc 0.94286, train_AUC 0.99533, train_F1: 0.92857
epoch 90, classification loss 0.039608, train acc 0.96, train_AUC 0.9986, train_F1: 0.95105
epoch 91, classification loss 0.027726, train acc 0.98857, train_AUC 0.99933, train_F1: 0.98649
epoch 92, classification loss 0.04753, train acc 0.98286, train_AUC 0.9982, train_F1: 0.97959
epoch 93, classification loss 0.051491, train acc 0.97714, train_AUC 0.9976, train_F1: 0.9726
epoch 94, classification loss 0.079217, train acc 0.96571, train_AUC 0.9944, train_F1: 0.95833
epoch 95, classification loss 0.059413, train acc 0.97714, train_AUC 0.99707, train_F1: 0.9726
epoch 96, classification loss 0.027726, train acc 0.98286, train_AUC 0.9992, train_F1: 0.97959
epoch 97, classification loss 0.039608, train acc 0.97714, train_AUC 0.9984, train_F1: 0.9726
epoch 98, classification loss 0.035648, train acc 0.97143, train_AUC 0.99867, train_F1: 0.96552
epoch 99, classification loss 0.035648, train acc 0.97143, train_AUC 0.99867, train_F1: 0.96552
epoch 100, classification loss 0.055452, train acc 0.94286, train_AUC 0.99733, train_F1: 0.92857
