total_epoch: 100, batch_size: 175, initial_lr 0.001, drop_lr: 0.5, drop_lr_per_epoch
epoch 69, classification loss 0.039767, train acc 0.98857, train_AUC 0.99893, train_F1: 0.98649
epoch 70, classification loss 0.051698, train acc 0.96571, train_AUC 0.9972, train_F1: 0.95833
epoch 71, classification loss 0.043586, train acc 0.97143, train_AUC 0.998, train_F1: 0.96552
epoch 72, classification loss 0.03586, train acc 0.96, train_AUC 0.99907, train_F1: 0.95105
epoch 73, classification loss 0.055459, train acc 0.97143, train_AUC 0.997, train_F1: 0.96552
epoch 74, classification loss 0.023768, train acc 0.98857, train_AUC 0.99947, train_F1: 0.98649
epoch 75, classification loss 0.043569, train acc 0.98286, train_AUC 0.9984, train_F1: 0.97959
epoch 76, classification loss 0.027726, train acc 0.97714, train_AUC 0.9992, train_F1: 0.9726
epoch 77, classification loss 0.043569, train acc 0.97714, train_AUC 0.99813, train_F1: 0.9726
epoch 78, classification loss 0.055452, train acc 0.96571, train_AUC 0.9968, train_F1: 0.95833
epoch 79, classification loss 0.055452, train acc 0.96571, train_AUC 0.9968, train_F1: 0.95833
epoch 80, classification loss 0.043569, train acc 0.98286, train_AUC 0.9984, train_F1: 0.97959
epoch 81, classification loss 0.023765, train acc 0.97714, train_AUC 0.99947, train_F1: 0.9726
epoch 82, classification loss 0.043569, train acc 0.97143, train_AUC 0.998, train_F1: 0.96552
epoch 83, classification loss 0.063373, train acc 0.94857, train_AUC 0.9958, train_F1: 0.93617
epoch 84, classification loss 0.051491, train acc 0.96, train_AUC 0.9972, train_F1: 0.95105
epoch 85, classification loss 0.059413, train acc 0.97143, train_AUC 0.99667, train_F1: 0.96552
epoch 86, classification loss 0.029524, train acc 0.97714, train_AUC 0.9992, train_F1: 0.9726
epoch 87, classification loss 0.063373, train acc 0.97714, train_AUC 0.9968, train_F1: 0.9726
epoch 88, classification loss 0.035648, train acc 0.97714, train_AUC 0.99867, train_F1: 0.9726
epoch 89, classification loss 0.039608, train acc 0.97143, train_AUC 0.99833, train_F1: 0.96552
epoch 90, classification loss 0.043569, train acc 0.97714, train_AUC 0.99813, train_F1: 0.9726
epoch 91, classification loss 0.087139, train acc 0.94286, train_AUC 0.992, train_F1: 0.92857
epoch 92, classification loss 0.04753, train acc 0.96, train_AUC 0.99767, train_F1: 0.95105
epoch 93, classification loss 0.051491, train acc 0.95429, train_AUC 0.99733, train_F1: 0.94366
epoch 94, classification loss 0.039608, train acc 0.98286, train_AUC 0.9986, train_F1: 0.97959
epoch 95, classification loss 0.039608, train acc 0.97714, train_AUC 0.9984, train_F1: 0.9726
epoch 96, classification loss 0.071295, train acc 0.96571, train_AUC 0.9952, train_F1: 0.95833
epoch 97, classification loss 0.04753, train acc 0.96571, train_AUC 0.9976, train_F1: 0.95833
epoch 98, classification loss 0.051491, train acc 0.97714, train_AUC 0.9976, train_F1: 0.9726
epoch 99, classification loss 0.063373, train acc 0.95429, train_AUC 0.99573, train_F1: 0.94366
epoch 100, classification loss 0.023765, train acc 0.98857, train_AUC 0.99947, train_F1: 0.98649
