total_epoch: 100, batch_size: 175, initial_lr 0.001, drop_lr: 0.5, drop_lr_per_epoch
epoch 41, classification loss 0.52501, train acc 0.82286, train_AUC 0.9312, train_F1: 0.7395
epoch 42, classification loss 0.34369, train acc 0.84, train_AUC 0.97427, train_F1: 0.83529
epoch 43, classification loss 0.43737, train acc 0.78857, train_AUC 0.96967, train_F1: 0.67257
epoch 44, classification loss 0.45246, train acc 0.82286, train_AUC 0.9652, train_F1: 0.82081
epoch 45, classification loss 0.34805, train acc 0.83429, train_AUC 0.98213, train_F1: 0.76033
epoch 46, classification loss 0.29695, train acc 0.88, train_AUC 0.97987, train_F1: 0.86792
epoch 47, classification loss 0.33074, train acc 0.85143, train_AUC 0.9748, train_F1: 0.79032
epoch 48, classification loss 0.30994, train acc 0.89143, train_AUC 0.9786, train_F1: 0.88199
epoch 49, classification loss 0.2516, train acc 0.88571, train_AUC 0.98347, train_F1: 0.84615
epoch 50, classification loss 0.097496, train acc 0.96571, train_AUC 0.99613, train_F1: 0.9589
epoch 51, classification loss 0.080196, train acc 0.97143, train_AUC 0.9968, train_F1: 0.96552
epoch 52, classification loss 0.058544, train acc 0.98286, train_AUC 0.9994, train_F1: 0.97959
epoch 53, classification loss 0.072886, train acc 0.95429, train_AUC 0.9968, train_F1: 0.94366
epoch 54, classification loss 0.059672, train acc 0.97143, train_AUC 0.99813, train_F1: 0.96599
epoch 55, classification loss 0.091329, train acc 0.94857, train_AUC 0.99467, train_F1: 0.93617
epoch 56, classification loss 0.03484, train acc 0.96571, train_AUC 0.9996, train_F1: 0.95833
epoch 57, classification loss 0.032609, train acc 0.97714, train_AUC 0.9992, train_F1: 0.9726
epoch 58, classification loss 0.063646, train acc 0.97143, train_AUC 0.99767, train_F1: 0.96552
epoch 59, classification loss 0.065777, train acc 0.97143, train_AUC 0.99667, train_F1: 0.96552
epoch 60, classification loss 0.043424, train acc 0.98286, train_AUC 0.9988, train_F1: 0.97959
epoch 61, classification loss 0.045909, train acc 0.97714, train_AUC 0.99813, train_F1: 0.9726
epoch 62, classification loss 0.037783, train acc 0.98857, train_AUC 0.99907, train_F1: 0.98649
epoch 63, classification loss 0.07598, train acc 0.94857, train_AUC 0.994, train_F1: 0.93617
epoch 64, classification loss 0.036593, train acc 0.97714, train_AUC 0.99867, train_F1: 0.9726
epoch 65, classification loss 0.058548, train acc 0.96, train_AUC 0.9968, train_F1: 0.95105
epoch 66, classification loss 0.039978, train acc 0.97714, train_AUC 0.9984, train_F1: 0.9726
epoch 67, classification loss 0.051752, train acc 0.97143, train_AUC 0.99733, train_F1: 0.96552
epoch 68, classification loss 0.051704, train acc 0.96571, train_AUC 0.9972, train_F1: 0.95833
epoch 69, classification loss 0.059961, train acc 0.97714, train_AUC 0.99707, train_F1: 0.9726
epoch 70, classification loss 0.039736, train acc 0.97714, train_AUC 0.9984, train_F1: 0.9726
epoch 71, classification loss 0.055505, train acc 0.97143, train_AUC 0.997, train_F1: 0.96552
epoch 72, classification loss 0.031692, train acc 0.98286, train_AUC 0.999, train_F1: 0.97959
epoch 73, classification loss 0.047802, train acc 0.98286, train_AUC 0.9982, train_F1: 0.97959
epoch 74, classification loss 0.031691, train acc 0.97714, train_AUC 0.99893, train_F1: 0.9726
epoch 75, classification loss 0.035649, train acc 0.97143, train_AUC 0.99867, train_F1: 0.96552
epoch 76, classification loss 0.023765, train acc 0.99429, train_AUC 0.99967, train_F1: 0.99329
epoch 77, classification loss 0.059415, train acc 0.96571, train_AUC 0.9964, train_F1: 0.95833
epoch 78, classification loss 0.055452, train acc 0.97714, train_AUC 0.99733, train_F1: 0.9726
epoch 79, classification loss 0.067334, train acc 0.97143, train_AUC 0.996, train_F1: 0.96552
epoch 80, classification loss 0.06566, train acc 0.96, train_AUC 0.9958, train_F1: 0.95105
epoch 81, classification loss 0.035648, train acc 0.98857, train_AUC 0.99907, train_F1: 0.98649
epoch 82, classification loss 0.015843, train acc 0.99429, train_AUC 0.9998, train_F1: 0.99329
epoch 83, classification loss 0.035648, train acc 0.97714, train_AUC 0.99867, train_F1: 0.9726
epoch 84, classification loss 0.043569, train acc 0.98857, train_AUC 0.9988, train_F1: 0.98649
epoch 85, classification loss 0.035648, train acc 0.96571, train_AUC 0.9988, train_F1: 0.95833
epoch 86, classification loss 0.051491, train acc 0.97143, train_AUC 0.99733, train_F1: 0.96552
epoch 87, classification loss 0.039608, train acc 0.97714, train_AUC 0.9984, train_F1: 0.9726
epoch 88, classification loss 0.039608, train acc 0.98857, train_AUC 0.99893, train_F1: 0.98649
epoch 89, classification loss 0.039608, train acc 0.97714, train_AUC 0.9984, train_F1: 0.9726
epoch 90, classification loss 0.023765, train acc 0.97714, train_AUC 0.99947, train_F1: 0.9726
epoch 91, classification loss 0.04753, train acc 0.97143, train_AUC 0.99767, train_F1: 0.96552
epoch 92, classification loss 0.04753, train acc 0.96571, train_AUC 0.9976, train_F1: 0.95833
epoch 93, classification loss 0.023765, train acc 0.98286, train_AUC 0.9994, train_F1: 0.97959
epoch 94, classification loss 0.051491, train acc 0.98857, train_AUC 0.99853, train_F1: 0.98649
epoch 95, classification loss 0.043569, train acc 0.97714, train_AUC 0.99813, train_F1: 0.9726
epoch 96, classification loss 0.035648, train acc 0.98286, train_AUC 0.9988, train_F1: 0.97959
epoch 97, classification loss 0.051491, train acc 0.97143, train_AUC 0.99733, train_F1: 0.96552
epoch 98, classification loss 0.035648, train acc 0.97143, train_AUC 0.99867, train_F1: 0.96552
epoch 99, classification loss 0.031687, train acc 0.98286, train_AUC 0.999, train_F1: 0.97959
epoch 100, classification loss 0.043569, train acc 0.97143, train_AUC 0.998, train_F1: 0.96552
